year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2008,50554.1488832018,17347.3933712024,5854.06428614557,5894.46805297535,4171.2556766234
2009,66549.1042058013,26324.0969902627,6481.05141304297,6990.29390827967,5214.89399375542
2010,100242.128971457,39472.883717944,8478.89345397512,9191.36750745665,7274.13934743848
2011,161273.632527041,65281.7857908144,11321.2901142087,14066.2513336922,11907.441695428
2012,228444.255877767,100221.327325627,13195.0831467721,23743.7078762386,21003.3342412943
2013,245864.566980172,92505.2666028494,13997.2045914053,33259.3656857188,29397.0914488919
2014,258764.230133989,99852.0337042106,16977.2664022371,44454.3111879401,38827.8965652604
2015,330454.237227709,132379.643645814,20260.0550466844,57618.1204607676,49588.5268263298
2016,301097.837133917,117656.857295829,19819.1546996546,72671.7194827672,61512.508662944
2017,313403.988993146,120566.07734171,20864.5239188969,87308.3571153289,72172.3513139013
2018,354458.430808381,135912.544042978,22294.2001417722,102819.020255425,82969.7359149763
2019,341044.02148973,128975.237196713,23916.102962172,114736.907367562,89474.1016614577
2020,355457.420067153,135902.91598116,25788.3539262242,122972.610949374,91560.6935979367
2021,452425.325648596,189020.403838063,27175.1768793593,135444.262684806,97414.4025432095
2022,451550.058410073,195564.662097008,28735.4617621431,146778.804691501,101451.536454498
2023,421551.611262808,186035.487801196,27421.1742489383,157920.345162073,104765.958430267
2024,417753.961104788,193028.856635075,27880.1772806825,166867.130255705,105746.67225904
2025,433198.183538701,203192.318898066,28730.955240524,178912.653234443,109410.536166987
