tenor,real_rf,market_erp,idiosyncratic,company_erp,real_coe
1,0.011147,0.051263,0.0114581,0.0627211,0.0738681
2,0.0127,0.050576,0.01094067,0.06151667,0.07421667
3,0.014061,0.049935,0.01044661,0.06038161,0.07444261
4,0.01525,0.049336,0.00997485,0.05931085,0.07456085
5,0.016282,0.048778,0.00952441,0.05830241,0.07458441
6,0.017184,0.048257,0.0090943,0.0573513,0.0745353
7,0.017961,0.047771,0.00868362,0.05645462,0.07441562
8,0.01864,0.047318,0.00829148,0.05560948,0.07424948
9,0.019213,0.046895,0.00791705,0.05481205,0.07402505
10,0.01971,0.0465,0.00755953,0.05405953,0.07376953
11,0.020134,0.046132,0.00721815,0.05335015,0.07348415
12,0.020498,0.045788,0.00689219,0.05268019,0.07317819
13,0.020788,0.045467,0.00658095,0.05204795,0.07283595
14,0.02105,0.045168,0.00628376,0.05145176,0.07250176
15,0.02124,0.044889,0.006,0.050889,0.072129
16,0.021421,0.044629,0.00572905,0.05035805,0.07177905
17,0.02156,0.044386,0.00547033,0.04985633,0.07141633
18,0.02166,0.044159,0.0052233,0.0493823,0.0710423
19,0.021743,0.043947,0.00498743,0.04893443,0.07067743
20,0.021799,0.04375,0.0047622,0.0485122,0.0703112
21,0.021852,0.043566,0.00454715,0.04811315,0.06996515
22,0.021865,0.043394,0.00434181,0.04773581,0.06960081
23,0.021886,0.043234,0.00414574,0.04737974,0.06926574
24,0.021874,0.043084,0.00395852,0.04704252,0.06891652
25,0.021878,0.042945,0.00377976,0.04672476,0.06860276
26,0.021856,0.042814,0.00360908,0.04642308,0.06827908
27,0.021834,0.042693,0.0034461,0.0461391,0.0679731
28,0.021787,0.042579,0.00329047,0.04586947,0.06765647
29,0.021775,0.042474,0.00314188,0.04561588,0.06739088
30,0.021745,0.042375,0.003,0.045375,0.06712
