tenor,real,real_fwd1y,exp_inflation,exp_inflation_fwd1y,breakeven,breakeven_fwd1y,nominal,nominal_fwd1y
1,0.011147,0.011147,0.029291,0.029291,0.029454,0.029454,0.040929,0.040929
2,0.011923,0.0127,0.028659,0.028027,0.028969,0.028484,0.041237,0.041546
3,0.012635,0.014061,0.028096,0.026971,0.028536,0.027671,0.041532,0.042121
4,0.013288,0.01525,0.027595,0.026093,0.02815,0.026993,0.041812,0.042655
5,0.013886,0.016282,0.027148,0.025362,0.027806,0.026431,0.042078,0.043143
6,0.014435,0.017184,0.02675,0.024762,0.0275,0.025971,0.042332,0.043601
7,0.014938,0.017961,0.026395,0.024268,0.027227,0.025591,0.042572,0.044012
8,0.0154,0.01864,0.02608,0.023878,0.026984,0.025285,0.0428,0.044396
9,0.015823,0.019213,0.025798,0.023545,0.026768,0.025042,0.043015,0.044736
10,0.016211,0.01971,0.025547,0.023291,0.026575,0.02484,0.043217,0.04504
11,0.016567,0.020134,0.025324,0.023097,0.026403,0.024685,0.043407,0.045316
12,0.016894,0.020498,0.025125,0.022939,0.02625,0.024569,0.043587,0.045571
13,0.017193,0.020788,0.024948,0.022826,0.026114,0.024483,0.043756,0.04578
14,0.017468,0.02105,0.02479,0.022738,0.025992,0.024407,0.043914,0.045971
15,0.017719,0.02124,0.024649,0.022677,0.025884,0.024373,0.044062,0.046131
16,0.01795,0.021421,0.024524,0.022651,0.025787,0.024333,0.0442,0.046275
17,0.018162,0.02156,0.024412,0.022622,0.025702,0.024343,0.044331,0.046428
18,0.018356,0.02166,0.024313,0.022631,0.025625,0.024317,0.044451,0.046504
19,0.018534,0.021743,0.024224,0.022623,0.025557,0.024334,0.044565,0.046606
20,0.018697,0.021799,0.024145,0.022645,0.025496,0.024338,0.04467,0.046668
21,0.018847,0.021852,0.024075,0.022676,0.025442,0.024363,0.044769,0.046747
22,0.018984,0.021865,0.024012,0.02269,0.025394,0.024387,0.04486,0.046785
23,0.01911,0.021886,0.023956,0.022725,0.025351,0.024405,0.044945,0.046825
24,0.019225,0.021874,0.023906,0.022757,0.025313,0.024439,0.045025,0.046848
25,0.019331,0.021878,0.023862,0.022807,0.025278,0.024438,0.045098,0.046851
26,0.019428,0.021856,0.023822,0.022823,0.025248,0.024498,0.045167,0.046889
27,0.019517,0.021834,0.023787,0.022877,0.025221,0.024519,0.04523,0.046888
28,0.019598,0.021787,0.023756,0.022919,0.025197,0.024549,0.045289,0.046871
29,0.019673,0.021775,0.023728,0.022944,0.025175,0.024559,0.045343,0.046869
30,0.019742,0.021745,0.023703,0.022978,0.025156,0.024605,0.045395,0.046885
